id,keyword,type,createdBy,createdById,createdAt,updatedBy,updatedById,updatedAt
58bffa4ebdeac5b071096bcb,VM-UNIONB,VALID SENDER,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:34:22 pm,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:34:22 pm
58bffaa7bdeac5b071096bd5,VM-YESBANK,VALID SENDER,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:35:51 pm,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:35:51 pm
5852333e7fa7c0de03a80fab,WIN,NEGATIVE,Admin User,5785ee389675708b7c6b62cc,2016-12-15 6:07:58 am,Admin User,5785ee389675708b7c6b62cc,2016-12-15 6:07:58 am
585233477fa7c0de03a80fac,WON,NEGATIVE,Admin User,5785ee389675708b7c6b62cc,2016-12-15 6:08:07 am,Admin User,5785ee389675708b7c6b62cc,2016-12-15 6:08:07 am
58451e87b140d78d0c123b91,Withdraw,POSITIVE,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2016-12-05 8:00:07 am,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2016-12-05 8:00:07 am
59144511c9887a7c22f73985,cashback,NEGATIVE,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-05-11 11:03:45 am,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-05-11 11:03:45 am
5797262e9339b3e153b4c841,debited,POSITIVE,Admin User,5785ee389675708b7c6b62cc,2016-07-26 8:58:22 am,Admin User,5785ee389675708b7c6b62cc,2016-07-26 8:58:22 am
589172c656999109118c8f19,redeem,NEGATIVE,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-02-01 5:31:50 am,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-02-01 5:31:50 am
59144617c9887a7c22f7398f,verification code,NEGATIVE,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-05-11 11:08:07 am,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-05-11 11:08:07 am
59144550c9887a7c22f73988,win,NEGATIVE,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-05-11 11:04:48 am,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-05-11 11:04:48 am
5797263e9339b3e153b4c842,withdrawn,POSITIVE,Admin User,5785ee389675708b7c6b62cc,2016-07-26 8:58:38 am,Admin User,5785ee389675708b7c6b62cc,2016-07-26 8:58:38 am
